country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha
CZ,CZ-JC,South Bohemia,Z2,3,1,25.43,,25.43,7.07,25.43,24.41,12.71,7.07,6.79
CZ,CZ-JM,South Moravia,Z2,3,1,25.43,,25.43,5.61,25.43,24.41,12.71,5.61,5.39
CZ,CZ-KA,Karlovy Vary,Z3,3,1,25.43,,25.43,7.38,25.43,24.41,12.71,7.38,7.09
CZ,CZ-KR,Hradec Králové,Z2,3,1,25.43,,25.43,7.61,25.43,24.41,12.71,7.61,7.31
CZ,CZ-LI,Liberec,Z3,3,1,25.43,,25.43,5.57,25.43,24.41,12.71,5.57,5.35
CZ,CZ-MO,Moravian-Silesian,Z2,3,1,25.43,,25.43,7.25,25.43,24.41,12.71,7.25,6.96
CZ,CZ-OL,Olomouc,Z2,3,1,25.43,,25.43,7.2,25.43,24.41,12.71,7.2,6.92
CZ,CZ-PA,Pardubice,Z2,3,1,25.43,,25.43,7.48,25.43,24.41,12.71,7.48,7.18
CZ,CZ-PL,Plzeň,Z3,3,1,25.43,,25.43,8.79,25.43,24.41,12.71,8.79,8.44
CZ,CZ-PR,Prague,Z2,3,1,25.43,,25.43,5.66,25.43,24.41,12.71,5.66,5.43
CZ,CZ-ST,Central Bohemia,Z2,3,1,25.43,,25.43,7.25,25.43,24.41,12.71,7.25,6.96
CZ,CZ-US,Ústí nad Labem,Z3,3,1,25.43,,25.43,7.07,25.43,24.41,12.71,7.07,6.79
CZ,CZ-VY,Vysočina,Z3,3,1,25.43,,25.43,7.16,25.43,24.41,12.71,7.16,6.87
CZ,CZ-ZL,Zlín,Z2,3,1,25.43,,25.43,5.66,25.43,24.41,12.71,5.66,5.43
