country,region_id,region_name,risk_zone,n_years,one_bad_year,lr_30yr_pct,lr_5yr_pct,lr_pricing_pct,lr_full_mean_pct,lr_std_max_pct,worst_year,premium_eur_ha
HU,HU-BA,Baranya,Z2,3,1,25.43,,25.43,5.57,1.05,1995,24.41
HU,HU-BE,Békés,Z1,3,1,25.43,,25.43,7.3,1.05,1995,24.41
HU,HU-BK,Bács-Kiskun,Z1,3,1,41.48,,41.48,26.98,35.89,1997,39.83
HU,HU-BO,Borsod,Z1,3,1,25.43,,25.43,5.62,1.05,1995,24.41
HU,HU-CS,Csongrád-Csanád,Z1,3,1,25.68,,25.68,5.91,1.47,1995,24.65
HU,HU-FE,Fejér,Z2,3,1,25.43,,25.43,5.57,1.05,1995,24.41
HU,HU-GS,Győr-Moson-Sopron,Z3,3,1,25.43,,25.43,7.15,1.05,1995,24.41
HU,HU-HB,Hajdú-Bihar,Z1,3,1,25.43,,25.43,5.57,1.05,1995,24.41
HU,HU-HE,Heves,Z2,3,1,25.43,,25.43,5.57,1.05,1995,24.41
HU,HU-JN,Jász-Nagykun-Szolnok,Z1,3,1,25.46,,25.46,7.2,1.05,1995,24.44
HU,HU-KE,Komárom-Esztergom,Z2,3,1,25.43,,25.43,7.15,1.05,1995,24.41
HU,HU-NO,Nógrád,Z2,3,1,25.43,,25.43,5.57,1.05,1995,24.41
HU,HU-PE,Pest,Z2,3,1,25.43,,25.43,7.15,1.05,1995,24.41
HU,HU-SO,Somogy,Z3,3,1,39.32,,39.32,25.67,35.89,1997,37.74
HU,HU-SZ,Szabolcs-Szatmár-Bereg,Z1,3,1,37.83,,37.83,23.69,29.93,1997,36.31
HU,HU-TO,Tolna,Z2,3,1,28.76,,28.76,10.01,13.66,1997,27.61
HU,HU-VA,Vas,Z3,3,1,25.43,,25.43,7.15,1.05,1995,24.41
HU,HU-VE,Veszprém,Z3,3,1,25.43,,25.43,5.57,1.05,1995,24.41
HU,HU-ZA,Zala,Z3,3,1,25.43,,25.43,7.15,1.05,1995,24.41
