country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha
MD,MD-AN,Anenii Noi,Z2,3,1,26.17,,26.17,6.71,26.17,25.12,13.08,6.71,6.44
MD,MD-BA,Bălți,Z1,3,1,25.25,,25.25,5.54,25.25,24.24,12.62,5.54,5.32
MD,MD-BR,Briceni,Z1,3,1,25.25,,25.25,5.54,25.25,24.24,12.62,5.54,5.32
MD,MD-CA,Cahul,Z1,3,1,25.62,,25.62,5.93,25.62,24.59,12.81,5.93,5.69
MD,MD-CI,Cimișlia,Z1,3,1,25.49,,25.49,5.86,25.49,24.47,12.74,5.86,5.63
MD,MD-CM,Căușeni,Z1,3,1,25.4,,25.4,5.74,25.4,24.38,12.7,5.74,5.51
MD,MD-CR,Criuleni,Z2,3,1,25.25,,25.25,5.49,25.25,24.24,12.62,5.49,5.27
MD,MD-DO,Dondușeni,Z1,3,1,25.25,,25.25,5.54,25.25,24.24,12.62,5.54,5.32
MD,MD-DR,Drochia,Z1,3,1,25.25,,25.25,5.54,25.25,24.24,12.62,5.54,5.32
MD,MD-DU,Dubăsari,Z2,3,1,25.25,,25.25,5.49,25.25,24.24,12.62,5.49,5.27
MD,MD-ED,Edineț,Z2,3,1,25.25,,25.25,5.54,25.25,24.24,12.62,5.54,5.32
MD,MD-FL,Florești,Z1,3,1,25.25,,25.25,5.49,25.25,24.24,12.62,5.49,5.27
MD,MD-GL,Glodeni,Z1,3,1,25.25,,25.25,5.59,25.25,24.24,12.62,5.59,5.37
MD,MD-HI,Hîncești,Z2,3,1,25.62,,25.62,7.74,25.62,24.6,12.81,7.74,7.43
MD,MD-IA,Ialoveni,Z2,3,1,25.62,,25.62,5.93,25.62,24.6,12.81,5.93,5.7
MD,MD-LE,Leova,Z1,3,1,26.17,,26.17,6.77,26.17,25.12,13.08,6.77,6.5
MD,MD-NI,Nisporeni,Z2,3,1,25.28,,25.28,5.58,25.28,24.27,12.64,5.58,5.36
MD,MD-OC,Ocnița,Z2,3,1,25.25,,25.25,5.54,25.25,24.24,12.62,5.54,5.32
MD,MD-OR,Orhei,Z2,3,1,25.49,,25.49,5.81,25.49,24.47,12.74,5.81,5.57
MD,MD-RE,Rezina,Z2,3,1,25.25,,25.25,5.49,25.25,24.24,12.62,5.49,5.27
MD,MD-RI,Rîșcani,Z1,3,1,25.25,,25.25,5.54,25.25,24.24,12.62,5.54,5.32
MD,MD-SD,Șoldănești,Z2,3,1,25.49,,25.49,5.81,25.49,24.47,12.74,5.81,5.57
MD,MD-SI,Sîngerei,Z1,3,1,25.25,,25.25,5.49,25.25,24.24,12.62,5.49,5.27
MD,MD-SO,Soroca,Z1,3,1,25.25,,25.25,5.49,25.25,24.24,12.62,5.49,5.27
MD,MD-ST,Strășeni,Z2,3,1,25.25,,25.25,5.49,25.25,24.24,12.62,5.49,5.27
MD,MD-ST2,Ștefan Vodă,Z1,3,1,25.28,,25.28,5.48,25.28,24.27,12.64,5.48,5.26
MD,MD-TA,Taraclia,Z1,3,1,25.79,,25.79,6.32,25.79,24.76,12.9,6.32,6.07
MD,MD-TE,Telenești,Z2,3,1,25.25,,25.25,5.43,25.25,24.24,12.62,5.43,5.22
MD,MD-UN,Ungheni,Z2,3,1,25.25,,25.25,5.8,25.25,24.24,12.62,5.8,5.57
