Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, TOTAL, Year 1990, Hectares, 13064
Rapeseed, Total, TOTAL, Year 1991, Hectares, 8813
Rapeseed, Total, TOTAL, Year 1992, Hectares, 1734
Rapeseed, Total, TOTAL, Year 1993, Hectares, 1458
Rapeseed, Total, TOTAL, Year 1994, Hectares, 342
Rapeseed, Total, TOTAL, Year 1995, Hectares, 303
Rapeseed, Total, TOTAL, Year 1996, Hectares, 1719
Rapeseed, Total, TOTAL, Year 1997, Hectares, 7190
Rapeseed, Total, TOTAL, Year 1998, Hectares, 27017
Rapeseed, Total, TOTAL, Year 1999, Hectares, 83630
Rapeseed, Total, TOTAL, Year 2000, Hectares, 68412
Rapeseed, Total, TOTAL, Year 2001, Hectares, 82395
Rapeseed, Total, TOTAL, Year 2002, Hectares, 74612
Rapeseed, Total, TOTAL, Year 2003, Hectares, 17067
Rapeseed, Total, TOTAL, Year 2004, Hectares, 49728
Rapeseed, Total, TOTAL, Year 2005, Hectares, 87783
Rapeseed, Total, TOTAL, Year 2006, Hectares, 110110
Rapeseed, Total, TOTAL, Year 2007, Hectares, 364919
Rapeseed, Total, TOTAL, Year 2008, Hectares, 364978
Rapeseed, Total, TOTAL, Year 2009, Hectares, 419900
Rapeseed, Total, TOTAL, Year 2010, Hectares, 537330
Rapeseed, Total, TOTAL, Year 2011, Hectares, 392668
Rapeseed, Total, TOTAL, Year 2012, Hectares, 105295
Rapeseed, Total, TOTAL, Year 2013, Hectares, 276596
Rapeseed, Total, TOTAL, Year 2014, Hectares, 406705
Rapeseed, Total, TOTAL, Year 2015, Hectares, 367885
Rapeseed, Total, TOTAL, Year 2016, Hectares, 455953
Rapeseed, Total, TOTAL, Year 2017, Hectares, 597967
Rapeseed, Total, TOTAL, Year 2018, Hectares, 632679
Rapeseed, Total, TOTAL, Year 2019, Hectares, 352622
Rapeseed, Total, TOTAL, Year 2020, Hectares, 362865
Rapeseed, Total, TOTAL, Year 2021, Hectares, 445918
Rapeseed, Total, TOTAL, Year 2022, Hectares, 468870
Rapeseed, Total, TOTAL, Year 2023, Hectares, 641425
Rapeseed, Total, TOTAL, Year 2024, Hectares, 522298
Rapeseed, Total, Arges, Year 1998, Hectares, 10
Rapeseed, Total, Arges, Year 1999, Hectares, 463
Rapeseed, Total, Arges, Year 2000, Hectares, 379
Rapeseed, Total, Arges, Year 2001, Hectares, 574
Rapeseed, Total, Arges, Year 2002, Hectares, 1657
Rapeseed, Total, Arges, Year 2003, Hectares, 1379
Rapeseed, Total, Arges, Year 2004, Hectares, 1823
Rapeseed, Total, Arges, Year 2005, Hectares, 1703
Rapeseed, Total, Arges, Year 2006, Hectares, 753
Rapeseed, Total, Arges, Year 2007, Hectares, 3743
Rapeseed, Total, Arges, Year 2008, Hectares, 4041
Rapeseed, Total, Arges, Year 2009, Hectares, 5109
Rapeseed, Total, Arges, Year 2010, Hectares, 9168
Rapeseed, Total, Arges, Year 2011, Hectares, 7563
Rapeseed, Total, Arges, Year 2012, Hectares, 1392
Rapeseed, Total, Arges, Year 2013, Hectares, 4559
Rapeseed, Total, Arges, Year 2014, Hectares, 5962
Rapeseed, Total, Arges, Year 2015, Hectares, 6247
Rapeseed, Total, Arges, Year 2016, Hectares, 5933
Rapeseed, Total, Arges, Year 2017, Hectares, 5293
Rapeseed, Total, Arges, Year 2018, Hectares, 5856
Rapeseed, Total, Arges, Year 2019, Hectares, 2755
Rapeseed, Total, Arges, Year 2020, Hectares, 1624
Rapeseed, Total, Arges, Year 2021, Hectares, 3592
Rapeseed, Total, Arges, Year 2022, Hectares, 6113
Rapeseed, Total, Arges, Year 2023, Hectares, 9846
Rapeseed, Total, Arges, Year 2024, Hectares, 7222
Rapeseed, Total, Bacau, Year 1998, Hectares, 53
Rapeseed, Total, Bacau, Year 2000, Hectares, 100
Rapeseed, Total, Bacau, Year 2001, Hectares, 142
Rapeseed, Total, Bacau, Year 2002, Hectares, 105
Rapeseed, Total, Bacau, Year 2003, Hectares, 218
Rapeseed, Total, Bacau, Year 2004, Hectares, 217
Rapeseed, Total, Bacau, Year 2005, Hectares, 650
Rapeseed, Total, Bacau, Year 2006, Hectares, 710
Rapeseed, Total, Bacau, Year 2007, Hectares, 2075
Rapeseed, Total, Bacau, Year 2008, Hectares, 2368
Rapeseed, Total, Bacau, Year 2009, Hectares, 3477
Rapeseed, Total, Bacau, Year 2010, Hectares, 3509
Rapeseed, Total, Bacau, Year 2011, Hectares, 4605
Rapeseed, Total, Bacau, Year 2012, Hectares, 1780
Rapeseed, Total, Bacau, Year 2013, Hectares, 2209
Rapeseed, Total, Bacau, Year 2014, Hectares, 2611
Rapeseed, Total, Bacau, Year 2015, Hectares, 2108
Rapeseed, Total, Bacau, Year 2016, Hectares, 3592
Rapeseed, Total, Bacau, Year 2017, Hectares, 4748
Rapeseed, Total, Bacau, Year 2018, Hectares, 4926
Rapeseed, Total, Bacau, Year 2019, Hectares, 4141
Rapeseed, Total, Bacau, Year 2020, Hectares, 3837
Rapeseed, Total, Bacau, Year 2021, Hectares, 3175
Rapeseed, Total, Bacau, Year 2022, Hectares, 3142
Rapeseed, Total, Bacau, Year 2023, Hectares, 7623
Rapeseed, Total, Bacau, Year 2024, Hectares, 8543
Rapeseed, Total, Bihor, Year 1990, Hectares, 1499
Rapeseed, Total, Bihor, Year 1991, Hectares, 807
Rapeseed, Total, Bihor, Year 1992, Hectares, 60
