country,region_id,region_name,risk_zone,n_years,one_bad_year,lr_30yr_pct,lr_5yr_pct,lr_pricing_pct,lr_full_mean_pct,lr_std_max_pct,worst_year,premium_eur_ha,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha
CZ,CZ-JC,South Bohemia,Z2,35,0,0.33,0.33,0.33,5.54,0.33,1990,0.32,0.32,0.42,0.16,0.15
CZ,CZ-JM,South Moravia,Z2,35,0,0.5,0.66,0.59,5.59,1.96,2024,0.57,0.57,0.74,0.3,0.29
CZ,CZ-KA,Karlovy Vary,Z3,35,0,0.76,0.33,0.5,6.05,10.85,2018,0.48,0.48,0.62,0.25,0.24
CZ,CZ-KR,Hradec Králové,Z2,35,0,0.35,0.36,0.35,5.63,0.65,2003,0.34,0.34,0.44,0.18,0.17
CZ,CZ-LI,Liberec,Z3,35,0,0.33,0.33,0.33,5.5,0.33,1990,0.32,0.32,0.42,0.16,0.15
CZ,CZ-MO,Moravian-Silesian,Z2,35,0,0.33,0.33,0.33,5.69,0.33,1990,0.32,0.32,0.42,0.16,0.15
CZ,CZ-OL,Olomouc,Z2,35,0,0.33,0.33,0.33,5.52,0.33,1990,0.32,0.32,0.42,0.16,0.15
CZ,CZ-PA,Pardubice,Z2,35,0,0.33,0.33,0.33,5.61,0.33,1990,0.32,0.32,0.42,0.16,0.15
CZ,CZ-PL,Plzeň,Z3,35,0,0.79,0.33,0.51,6.3,8.39,2003,0.49,0.49,0.64,0.26,0.25
CZ,CZ-PR,Prague,Z2,35,0,0.36,0.33,0.34,5.61,1.29,2018,0.33,0.33,0.43,0.17,0.16
CZ,CZ-ST,Central Bohemia,Z2,35,0,0.33,0.33,0.33,5.7,0.33,1990,0.32,0.32,0.42,0.16,0.15
CZ,CZ-US,Ústí nad Labem,Z3,35,0,0.48,0.33,0.39,5.97,3.46,2018,0.38,0.37,0.48,0.2,0.19
CZ,CZ-VY,Vysočina,Z3,35,0,0.33,0.33,0.33,5.41,0.33,1990,0.32,0.32,0.42,0.16,0.15
CZ,CZ-ZL,Zlín,Z2,35,0,0.37,0.33,0.35,5.63,1.81,1992,0.33,0.34,0.44,0.18,0.17
