country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha,lr_pricing_pct,lr_full_mean_pct,lr_30yr_pct,one_bad_year,worst_year,lr_std_max_pct,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha
MD,MD-AN,Anenii Noi,Z2,36,0,11.18,18.68,15.68,16.36,15.68,15.05,7.84,16.36,15.71,15.68,16.36,11.18,0,—,15.68,15.05,19.57,7.84,7.53
MD,MD-BA,Bălți,Z1,36,0,6.99,17.86,13.51,12.48,13.51,12.97,6.75,12.48,11.98,13.51,12.48,6.99,0,—,13.51,12.97,16.86,6.76,6.49
MD,MD-BR,Briceni,Z1,36,0,4.29,8.7,6.94,10.26,6.94,6.66,3.47,10.26,9.85,6.94,10.26,4.29,0,—,6.94,6.66,8.66,3.47,3.33
MD,MD-CA,Cahul,Z1,36,0,11.53,14.61,13.38,16.8,13.38,12.84,6.69,16.8,16.13,13.38,16.8,11.53,0,—,13.38,12.84,16.69,6.69,6.42
MD,MD-CI,Cimișlia,Z1,36,0,9.82,16.69,13.94,15.16,13.94,13.39,6.97,15.16,14.56,13.94,15.16,9.82,0,—,13.94,13.38,17.39,6.97,6.69
MD,MD-CM,Căușeni,Z1,36,0,6.1,15.45,11.71,11.43,11.71,11.24,5.85,11.43,10.97,11.71,11.43,6.1,0,—,11.71,11.24,14.61,5.86,5.63
MD,MD-CR,Criuleni,Z2,36,0,0.37,0.33,0.35,5.7,0.35,0.33,0.17,5.7,5.47,0.35,5.7,0.37,0,—,0.35,0.34,0.44,0.18,0.17
MD,MD-DO,Dondușeni,Z1,36,0,1.1,0.83,0.94,6.93,0.94,0.9,0.47,6.93,6.65,0.94,6.93,1.1,0,—,0.94,0.9,1.17,0.47,0.45
MD,MD-DR,Drochia,Z1,36,0,0.51,1.01,0.81,6.31,0.81,0.78,0.41,6.31,6.06,0.81,6.31,0.51,0,—,0.81,0.78,1.01,0.4,0.38
MD,MD-DU,Dubăsari,Z2,36,0,2.69,9.26,6.63,8.16,6.63,6.36,3.32,8.16,7.84,6.63,8.16,2.69,0,—,6.63,6.36,8.27,3.32,3.19
MD,MD-ED,Edineț,Z2,36,0,3.55,7.87,6.14,9.36,6.14,5.9,3.07,9.36,8.98,6.14,9.36,3.55,0,—,6.14,5.89,7.66,3.07,2.95
MD,MD-FL,Florești,Z1,36,0,3.32,9.32,6.92,9.0,6.92,6.64,3.46,9.0,8.64,6.92,9.0,3.32,0,—,6.92,6.64,8.63,3.46,3.32
MD,MD-GL,Glodeni,Z1,36,0,0.35,0.39,0.38,5.95,0.38,0.36,0.19,5.95,5.71,0.38,5.95,0.35,0,—,0.38,0.36,0.47,0.19,0.18
MD,MD-HI,Hîncești,Z2,36,0,1.64,7.33,5.05,6.93,5.05,4.85,2.53,6.93,6.65,5.05,6.93,1.64,0,—,5.05,4.85,6.3,2.52,2.42
MD,MD-IA,Ialoveni,Z2,36,0,2.63,11.49,7.95,7.95,7.95,7.63,3.97,7.95,7.63,7.95,7.95,2.63,0,—,7.95,7.63,9.92,3.98,3.82
MD,MD-LE,Leova,Z1,36,0,12.09,15.87,14.36,17.37,14.36,13.78,7.18,17.37,16.67,14.36,17.37,12.09,0,—,14.36,13.79,17.93,7.18,6.89
MD,MD-NI,Nisporeni,Z2,36,0,6.77,13.53,10.83,12.08,10.83,10.4,5.41,12.08,11.6,10.83,12.08,6.77,0,—,10.83,10.4,13.52,5.42,5.2
MD,MD-OC,Ocnița,Z2,36,0,2.55,7.07,5.26,8.24,5.26,5.05,2.63,8.24,7.91,5.26,8.24,2.55,0,—,5.26,5.05,6.56,2.63,2.52
MD,MD-OR,Orhei,Z2,36,0,7.07,14.26,11.39,12.38,11.39,10.93,5.69,12.38,11.89,11.39,12.38,7.07,0,—,11.39,10.93,14.21,5.7,5.47
MD,MD-RE,Rezina,Z2,36,0,3.97,11.1,8.25,9.33,8.25,7.92,4.12,9.33,8.96,8.25,9.33,3.97,0,—,8.25,7.92,10.3,4.12,3.96
MD,MD-RI,Rîșcani,Z1,36,0,1.85,3.26,2.7,7.66,2.7,2.59,1.35,7.66,7.35,2.7,7.66,1.85,0,—,2.7,2.59,3.37,1.35,1.3
MD,MD-SD,Șoldănești,Z2,36,0,7.94,19.83,15.07,13.29,15.07,14.47,7.54,13.29,12.76,15.07,13.29,7.94,0,—,15.07,14.47,18.81,7.54,7.24
MD,MD-SI,Sîngerei,Z1,36,0,0.56,0.99,0.82,6.05,0.82,0.79,0.41,6.05,5.81,0.82,6.05,0.56,0,—,0.82,0.79,1.03,0.41,0.39
MD,MD-SO,Soroca,Z1,36,0,3.17,10.35,7.48,8.65,7.48,7.18,3.74,8.65,8.31,7.48,8.65,3.17,0,—,7.48,7.18,9.33,3.74,3.59
MD,MD-ST,Strășeni,Z2,36,0,1.5,5.52,3.91,6.79,3.91,3.75,1.95,6.79,6.52,3.91,6.79,1.5,0,—,3.91,3.75,4.88,1.96,1.88
MD,MD-ST2,Ștefan Vodă,Z1,36,0,5.5,14.57,10.94,10.81,10.94,10.5,5.47,10.81,10.38,10.94,10.81,5.5,0,—,10.94,10.5,13.65,5.47,5.25
MD,MD-TA,Taraclia,Z1,36,0,14.22,21.38,18.52,19.7,18.52,17.78,9.26,19.7,18.91,18.52,19.7,14.22,0,—,18.52,17.78,23.11,9.26,8.89
MD,MD-TE,Telenești,Z2,36,0,1.62,2.88,2.38,7.12,2.38,2.28,1.19,7.12,6.83,2.38,7.12,1.62,0,—,2.38,2.28,2.96,1.19,1.14
MD,MD-UN,Ungheni,Z2,36,0,7.82,14.76,11.99,13.46,11.99,11.51,5.99,13.46,12.92,11.99,13.46,7.82,0,—,11.99,11.51,14.96,6.0,5.76
