country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha,lr_pricing_pct,lr_full_mean_pct,lr_30yr_pct,one_bad_year,worst_year,lr_std_max_pct,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha
PL,PL-DS,Lower Silesia,Z3,36,0,0.33,0.33,0.33,5.73,0.33,0.32,0.16,5.73,5.5,0.33,5.73,0.33,0,—,0.33,0.32,0.42,0.16,0.15
PL,PL-KP,Kuyavian-Pomeranian,Z3,36,0,16.69,18.78,17.94,22.83,17.94,17.22,8.97,22.83,21.92,17.94,22.83,16.69,0,—,17.94,17.22,22.39,8.97,8.61
PL,PL-LB,Lubusz,Z3,36,0,14.27,16.84,15.81,19.66,15.81,15.18,7.91,19.66,18.87,15.81,19.66,14.27,0,—,15.81,15.18,19.73,7.9,7.58
PL,PL-LD,Łódź,Z1,36,0,14.64,14.14,14.34,20.33,14.34,13.77,7.17,20.33,19.52,14.34,20.33,14.64,0,—,14.34,13.77,17.9,7.17,6.88
PL,PL-LU,Lublin,Z2,36,0,0.37,0.33,0.35,6.7,0.35,0.33,0.17,6.7,6.43,0.35,6.7,0.37,0,—,0.35,0.34,0.44,0.18,0.17
PL,PL-MA,Lesser Poland,Z2,36,0,0.33,0.33,0.33,5.54,0.33,0.32,0.16,5.54,5.32,0.33,5.54,0.33,0,—,0.33,0.32,0.42,0.16,0.15
PL,PL-MZ,Masovian,Z1,36,0,0.37,0.33,0.35,6.54,0.35,0.33,0.17,6.54,6.28,0.35,6.54,0.37,0,—,0.35,0.34,0.44,0.18,0.17
PL,PL-OP,Opole,Z2,36,0,0.37,0.63,0.53,6.17,0.53,0.51,0.26,6.17,5.92,0.53,6.17,0.37,0,—,0.53,0.51,0.66,0.26,0.25
PL,PL-PD,Podlaskie,Z1,36,0,0.37,0.33,0.35,5.73,0.35,0.33,0.17,5.73,5.5,0.35,5.73,0.37,0,—,0.35,0.34,0.44,0.18,0.17
PL,PL-PK,Subcarpathian,Z2,36,0,1.0,0.63,0.78,6.7,0.78,0.74,0.39,6.7,6.43,0.78,6.7,1.0,0,—,0.78,0.75,0.98,0.39,0.37
PL,PL-PM,Pomerania,Z3,36,0,8.12,4.35,5.86,13.65,5.86,5.63,2.93,13.65,13.11,5.86,13.65,8.12,0,—,5.86,5.63,7.32,2.93,2.81
PL,PL-SK,Świętokrzyskie,Z2,36,0,9.48,4.61,6.55,15.67,6.55,6.29,3.28,15.67,15.04,6.55,15.67,9.48,0,—,6.55,6.29,8.18,3.28,3.15
PL,PL-SL,Silesia,Z3,36,0,0.8,0.82,0.81,6.78,0.81,0.78,0.41,6.78,6.51,0.81,6.78,0.8,0,—,0.81,0.78,1.01,0.4,0.38
PL,PL-WN,Warmia-Mazury,Z1,36,0,6.19,14.36,11.09,11.74,11.09,10.65,5.55,11.74,11.27,11.09,11.74,6.19,0,—,11.09,10.65,13.84,5.54,5.32
PL,PL-WP,Greater Poland,Z3,36,0,0.36,0.52,0.46,6.03,0.46,0.44,0.23,6.03,5.79,0.46,6.03,0.36,0,—,0.46,0.44,0.57,0.23,0.22
PL,PL-ZP,West Pomerania,Z3,36,0,0.38,0.39,0.39,5.9,0.39,0.37,0.19,5.9,5.67,0.39,5.9,0.38,0,—,0.39,0.37,0.48,0.2,0.19
