country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha,lr_pricing_pct,lr_full_mean_pct,lr_30yr_pct,one_bad_year,worst_year,lr_std_max_pct,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha,lr_5yr_pct,premium_eur_ha
RO,RO-AB,Alba,Z3,12,0.0,0.75,,0.75,7.01,0.75,0.72,0.38,7.01,6.73,0.75,7.01,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-AG,Argeș,Z2,12,0.0,0.88,,0.88,6.78,0.88,0.84,0.44,6.78,6.51,0.88,6.78,0.88,0,—,0.88,0.84,1.09,0.44,0.42,,
RO,RO-AR,Arad,Z2,12,0.0,5.46,,5.46,11.31,5.46,5.24,2.73,11.31,10.86,5.46,11.31,5.46,0,—,5.46,5.24,6.81,2.73,2.62,,
RO,RO-B,București,Z1,12,0.0,3.03,,3.03,9.46,3.03,2.91,1.52,9.46,9.08,3.03,9.46,3.03,0,—,3.03,2.91,3.78,1.52,1.46,,
RO,RO-BC,Bacău,Z3,12,0.0,0.75,,0.75,7.91,0.75,0.72,0.38,7.91,7.59,0.75,7.91,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-BH,Bihor,Z2,12,0.0,5.21,,5.21,11.51,5.21,5.0,2.6,11.51,11.05,5.21,11.51,5.21,0,—,5.21,5.0,6.5,2.6,2.5,,
RO,RO-BN,Bistrița-Năsăud,Z3,12,0.0,0.75,,0.75,7.98,0.75,0.72,0.38,7.98,7.66,0.75,7.98,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-BR,Brăila,Z1,12,0.0,7.94,,7.94,14.33,7.94,7.63,3.97,14.33,13.76,7.94,14.33,7.94,0,—,7.94,7.62,9.91,3.97,3.81,,
RO,RO-BT,Botoșani,Z1,12,0.0,0.75,,0.75,7.12,0.75,0.72,0.38,7.12,6.84,0.75,7.12,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-BV,Brașov,Z3,12,0.0,0.79,,0.79,8.36,0.79,0.75,0.39,8.36,8.03,0.79,8.36,0.79,0,—,0.79,0.76,0.99,0.4,0.38,,
RO,RO-BZ,Buzău,Z1,12,0.0,0.75,,0.75,6.7,0.75,0.72,0.38,6.7,6.43,0.75,6.7,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-CJ,Cluj,Z3,12,0.0,0.9,,0.9,8.45,0.9,0.86,0.45,8.45,8.11,0.9,8.45,0.9,0,—,0.9,0.86,1.12,0.45,0.43,,
RO,RO-CL,Călărași,Z1,12,0.0,7.22,,7.22,12.82,7.22,6.94,3.61,12.82,12.3,7.22,12.82,7.22,0,—,7.22,6.93,9.01,3.61,3.47,,
RO,RO-CS,Caraș-Severin,Z2,12,0.0,2.16,,2.16,8.03,2.16,2.07,1.08,8.03,7.71,2.16,8.03,2.16,0,—,2.16,2.07,2.69,1.08,1.04,,
RO,RO-CT,Constanța,Z1,12,0.0,0.75,,0.75,5.75,0.75,0.72,0.38,5.75,5.52,0.75,5.75,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-CV,Covasna,Z3,12,0.0,0.75,,0.75,8.25,0.75,0.72,0.38,8.25,7.92,0.75,8.25,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-DB,Dâmbovița,Z2,12,0.0,1.41,,1.41,7.73,1.41,1.36,0.71,7.73,7.42,1.41,7.73,1.41,0,—,1.41,1.35,1.76,0.7,0.67,,
RO,RO-DJ,Dolj,Z1,12,0.0,10.86,,10.86,17.62,10.86,10.43,5.43,17.62,16.91,10.86,17.62,10.86,0,—,10.86,10.43,13.56,5.43,5.21,,
RO,RO-GJ,Gorj,Z2,12,0.0,5.39,,5.39,10.88,5.39,5.18,2.7,10.88,10.45,5.39,10.88,5.39,0,—,5.39,5.17,6.72,2.7,2.59,,
RO,RO-GL,Galați,Z1,12,0.0,7.45,,7.45,13.85,7.45,7.15,3.73,13.85,13.3,7.45,13.85,7.45,0,—,7.45,7.15,9.3,3.72,3.57,,
RO,RO-GR,Giurgiu,Z1,12,0.0,2.84,,2.84,8.42,2.84,2.73,1.42,8.42,8.08,2.84,8.42,2.84,0,—,2.84,2.73,3.55,1.42,1.36,,
RO,RO-HD,Hunedoara,Z3,12,0.0,0.75,,0.75,7.86,0.75,0.72,0.38,7.86,7.54,0.75,7.86,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-HR,Harghita,Z3,12,0.0,0.75,,0.75,8.79,0.75,0.72,0.38,8.79,8.44,0.75,8.79,0.75,0,—,0.75,0.72,0.94,0.38,0.36,,
RO,RO-IF,Ilfov,Z1,12,0.0,2.59,,2.59,9.39,2.59,2.48,1.29,9.39,9.02,2.59,9.39,2.59,0,—,2.59,2.49,3.24,1.3,1.25,,
