country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
CZ,CZ-JC,South Bohemia,2011,Z2,0,0,0.009134684189400336,8,0,0.33,1.08,6.41,49.0,14.47,27,248
CZ,CZ-JM,South Moravia,2011,Z2,0,0,0.009134684189400336,10,0,0.33,1.35,6.68,49.0,16.62,33,250
CZ,CZ-KA,Karlovy Vary,2011,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.23,12.87,24,247
CZ,CZ-KR,Hradec Králové,2011,Z2,0,0,0.009134684189400336,9,0,0.33,1.21,6.54,50.21,15.83,28,247
CZ,CZ-LI,Liberec,2011,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.77,15.05,24,246
CZ,CZ-MO,Moravian-Silesian,2011,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.82,18.26,28,247
CZ,CZ-OL,Olomouc,2011,Z2,0,0,0.009134684189400336,13,0,0.33,1.76,7.08,49.6,17.25,30,248
CZ,CZ-PA,Pardubice,2011,Z2,0,0,0.009134684189400336,12,0,0.33,1.62,6.95,50.03,15.78,28,247
CZ,CZ-PL,Plzeň,2011,Z3,0,0,0.009134684189400336,12,1,0.33,6.12,11.45,49.74,13.38,26,248
CZ,CZ-PR,Prague,2011,Z2,0,0,0.009134684189400336,11,1,0.33,5.99,11.31,50.08,14.44,30,248
CZ,CZ-ST,Central Bohemia,2011,Z2,0,0,0.009134684189400336,10,1,0.33,5.85,11.18,49.88,14.66,30,248
CZ,CZ-US,Ústí nad Labem,2011,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.66,14.03,25,246
CZ,CZ-VY,Vysočina,2011,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.4,15.58,27,248
CZ,CZ-ZL,Zlín,2011,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.23,17.67,30,248
