country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
MD,MD-AN,Anenii Noi,1990,Z2,12,0,0.38071842411903734,5,0,13.66,0.79,19.45,46.88,29.23,35,248
MD,MD-BA,Bălți,1990,Z1,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,47.76,27.93,32,245
MD,MD-BR,Briceni,1990,Z1,0,0,0.009134684189400336,5,1,0.33,6.04,11.37,48.37,27.07,30,243
MD,MD-CA,Cahul,1990,Z1,18,0,0.8338967485066187,3,0,29.93,0.47,35.4,45.9,28.2,35,252
MD,MD-CM,Căușeni,1990,Z1,0,0,0.009134684189400336,5,0,0.33,0.79,6.12,46.63,29.41,37,250
MD,MD-CI,Cimișlia,1990,Z1,19,0,0.8769112337997742,5,0,31.47,0.79,37.26,46.52,28.78,37,250
MD,MD-CR,Criuleni,1990,Z2,0,0,0.009134684189400336,6,0,0.33,0.95,6.27,47.21,29.15,33,247
MD,MD-DO,Dondușeni,1990,Z1,0,0,0.009134684189400336,8,0,0.33,1.26,6.59,48.23,27.6,30,243
MD,MD-DR,Drochia,1990,Z1,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,48.02,27.87,30,244
MD,MD-DU,Dubăsari,1990,Z2,0,0,0.009134684189400336,6,0,0.33,0.95,6.27,47.27,29.15,33,247
MD,MD-ED,Edineț,1990,Z2,0,0,0.009134684189400336,5,1,0.33,6.04,11.37,48.17,27.3,29,243
MD,MD-FL,Florești,1990,Z1,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,47.9,28.28,30,244
MD,MD-GL,Glodeni,1990,Z1,0,0,0.009134684189400336,5,0,0.33,0.79,6.12,47.78,27.52,30,244
MD,MD-HI,Hîncești,1990,Z2,0,0,0.009134684189400336,6,0,0.33,0.95,6.27,46.83,28.58,35,248
MD,MD-IA,Ialoveni,1990,Z2,0,0,0.009134684189400336,6,0,0.33,0.95,6.27,46.87,28.77,35,248
MD,MD-LE,Leova,1990,Z1,22,0,0.9531802989619281,5,0,34.21,0.79,40.0,46.48,28.26,37,250
MD,MD-NI,Nisporeni,1990,Z2,9,0,0.17704464793438088,7,0,6.35,1.1,12.46,47.08,28.18,33,247
MD,MD-OC,Ocnița,1990,Z2,0,0,0.009134684189400336,8,0,0.33,1.26,6.59,48.38,27.47,28,243
MD,MD-OR,Orhei,1990,Z2,10,0,0.23388549229737815,6,0,8.39,0.95,14.34,47.38,28.82,33,247
MD,MD-RE,Rezina,1990,Z2,0,0,0.009134684189400336,8,0,0.33,1.26,6.59,47.75,28.97,32,245
MD,MD-RI,Rîșcani,1990,Z1,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,47.95,27.57,30,244
MD,MD-SI,Sîngerei,1990,Z1,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,47.63,28.13,31,245
MD,MD-SO,Soroca,1990,Z1,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,48.16,28.3,30,243
MD,MD-ST,Strășeni,1990,Z2,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,47.14,28.6,33,247
MD,MD-SD,Șoldănești,1990,Z2,9,0,0.17704464793438088,7,0,6.35,1.1,12.46,47.82,28.8,30,244
MD,MD-ST2,Ștefan Vodă,1990,Z1,0,0,0.009134684189400336,4,0,0.33,0.63,5.96,46.52,29.67,35,250
MD,MD-TA,Taraclia,1990,Z1,16,0,0.7137158367436659,3,0,25.62,0.47,31.09,45.9,28.67,37,252
MD,MD-TE,Telenești,1990,Z2,0,0,0.009134684189400336,7,0,0.33,1.1,6.43,47.5,28.37,31,246
MD,MD-UN,Ungheni,1990,Z2,8,0,0.13164405250562752,5,0,4.72,0.79,10.51,47.21,27.8,32,246
