country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
PL,PL-DS,Lower Silesia,2013,Z3,0,0,0.009134684189400336,2,0,0.33,0.34,5.67,51.13,16.99,30,245
PL,PL-KP,Kuyavian-Pomeranian,2013,Z3,13,0,0.46592788692288584,0,0,16.72,0.0,21.72,53.17,18.01,28,243
PL,PL-LU,Lublin,2013,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,51.25,22.57,32,245
PL,PL-LB,Lubusz,2013,Z3,13,0,0.46592788692288584,2,0,16.72,0.34,22.07,52.22,15.51,27,245
PL,PL-LD,Łódź,2013,Z1,7,0,0.09652032552329681,4,0,3.46,0.69,9.15,51.77,19.46,33,245
PL,PL-MA,Lesser Poland,2013,Z2,0,0,0.009134684189400336,2,0,0.33,0.34,5.67,49.71,20.43,30,247
PL,PL-MZ,Masovian,2013,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,52.22,21.01,33,244
PL,PL-OP,Opole,2013,Z2,0,0,0.009134684189400336,2,0,0.33,0.34,5.67,50.67,17.93,32,246
PL,PL-PK,Subcarpathian,2013,Z2,1,0,0.012913301141131968,1,0,0.46,0.17,5.64,50.06,22.01,28,248
PL,PL-PD,Podlaskie,2013,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,53.13,22.78,27,242
PL,PL-PM,Pomerania,2013,Z3,7,0,0.09652032552329681,4,1,3.46,6.44,14.9,54.18,17.53,27,242
PL,PL-SL,Silesia,2013,Z3,0,0,0.009134684189400336,3,0,0.33,0.52,5.85,50.43,19.02,32,246
PL,PL-SK,Świętokrzyskie,2013,Z2,11,0,0.3022724360915589,3,0,10.85,0.52,16.37,50.87,20.63,30,246
PL,PL-WN,Warmia-Mazury,2013,Z1,3,0,0.025668175767341234,0,0,0.92,0.0,5.92,53.83,20.48,25,242
PL,PL-WP,Greater Poland,2013,Z3,0,0,0.009134684189400336,4,0,0.33,0.69,6.02,52.41,17.08,29,244
PL,PL-ZP,West Pomerania,2013,Z3,0,0,0.009134684189400336,3,0,0.33,0.52,5.85,53.43,15.57,27,242
