country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
RO,RO-AB,Alba,2009,Z3,3,0,0.025668175767341234,0,0,0.92,0.0,5.92,46.08,23.58,28,253
RO,RO-AR,Arad,2009,Z2,15,0,0.6372619853422139,0,0,22.87,0.0,27.87,46.17,21.31,32,255
RO,RO-AG,Argeș,2009,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,44.87,24.87,35,257
RO,RO-BC,Bacău,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,46.57,26.91,30,250
RO,RO-BH,Bihor,2009,Z2,21,0,0.9348381964349612,0,0,33.55,0.0,38.55,47.05,22.0,30,252
RO,RO-BN,Bistrița-Năsăud,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,47.13,24.5,25,248
RO,RO-BT,Botoșani,2009,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,47.75,26.67,30,245
RO,RO-BV,Brașov,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.65,25.6,22,250
RO,RO-BR,Brăila,2009,Z1,15,0,0.6372619853422139,0,0,22.87,0.0,27.87,45.27,27.96,38,258
RO,RO-B,București,2009,Z1,18,0,0.8338967485066187,0,0,29.93,0.0,34.93,44.43,26.1,38,258
RO,RO-BZ,Buzău,2009,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.15,26.82,35,257
RO,RO-CS,Caraș-Severin,2009,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.3,21.9,28,255
RO,RO-CL,Călărași,2009,Z1,30,0,0.9970219379395922,0,0,35.78,0.0,40.78,44.2,26.33,40,260
RO,RO-CJ,Cluj,2009,Z3,2,0,0.01822621460580879,0,0,0.65,0.0,5.65,46.77,23.6,26,250
RO,RO-CT,Constanța,2009,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,44.18,28.65,25,262
RO,RO-CV,Covasna,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.85,26.18,24,250
RO,RO-DB,Dâmbovița,2009,Z2,6,0,0.07001232730440324,0,0,2.51,0.0,7.51,44.93,25.45,35,257
RO,RO-DJ,Dolj,2009,Z1,16,0,0.7137158367436659,0,0,25.62,0.0,30.62,44.32,23.81,42,258
RO,RO-GL,Galați,2009,Z1,15,0,0.6372619853422139,0,0,22.87,0.0,27.87,45.43,28.05,35,258
RO,RO-GR,Giurgiu,2009,Z1,22,0,0.9531802989619281,0,0,34.21,0.0,39.21,43.9,25.97,42,260
RO,RO-GJ,Gorj,2009,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,44.95,23.28,30,255
RO,RO-HR,Harghita,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,46.5,25.5,22,248
RO,RO-HD,Hunedoara,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.72,22.91,28,253
RO,RO-IL,Ialomița,2009,Z1,13,0,0.46592788692288584,0,0,16.72,0.0,21.72,44.6,27.38,30,260
RO,RO-IS,Iași,2009,Z1,11,0,0.3022724360915589,0,0,10.85,0.0,15.85,47.15,27.6,33,248
RO,RO-IF,Ilfov,2009,Z1,8,0,0.13164405250562752,0,0,4.72,0.0,9.72,44.55,26.12,38,258
RO,RO-MM,Maramureș,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,47.65,24.1,25,247
RO,RO-MH,Mehedinți,2009,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,44.63,22.65,32,255
RO,RO-MS,Mureș,2009,Z3,32,0,0.9985189177081436,0,0,35.84,0.0,40.84,46.55,24.57,26,250
RO,RO-NT,Neamț,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,47.0,26.37,28,250
RO,RO-OT,Olt,2009,Z1,8,0,0.13164405250562752,0,0,4.72,0.0,9.72,44.43,24.37,40,258
RO,RO-PH,Prahova,2009,Z2,4,0,0.03603723357084454,0,0,1.29,0.0,6.29,45.07,25.98,35,257
RO,RO-SM,Satu Mare,2009,Z2,16,0,0.7137158367436659,3,0,25.62,0.45,31.07,47.8,22.88,28,250
RO,RO-SJ,Sălaj,2009,Z3,0,0,0.009134684189400336,3,0,0.33,0.45,5.78,47.18,23.05,27,250
RO,RO-SB,Sibiu,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.8,24.15,25,252
RO,RO-SV,Suceava,2009,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,47.65,25.95,27,247
RO,RO-TR,Teleorman,2009,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,43.97,25.0,42,260
RO,RO-TM,Timiș,2009,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.75,21.23,33,255
RO,RO-TL,Tulcea,2009,Z1,14,0,0.5531731738695379,0,0,19.85,0.0,24.85,45.18,28.8,28,260
RO,RO-VS,Vaslui,2009,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,46.64,27.73,32,250
RO,RO-VL,Vâlcea,2009,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.1,24.37,30,255
RO,RO-VN,Vrancea,2009,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,45.7,27.07,35,252
